*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         NOV 06, 2014; 23:59:41
                                                                                
*RUN   1        : 97 DATE1 CHINESE          CRGRO045 GHNY9701    1              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN 1997 VARIETY X PLANTING DATE EXPERIMENT           
 DATA PATH      :                                                               
 TREATMENT  1   : 97 DATE1 CHINESE          CRGRO045                            
  
!                                                            NO3 (ppm) by soil depth (cm):                   NH4 (ppm) by soil depth (cm):
!                                                            0-5    5-15   15-30   30-45   45-60   60-90     0-5    5-15   15-30   30-45   45-60   60-90
@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD   NITD   NHTD    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM
 1997 217    69     0     0     1.5   10.8    7.3    3.4    0.13    0.31    0.59    0.70    0.57    0.54    0.02    0.10    0.24    0.23    0.24    0.36   15.83   12.52    0.01    0.00    0.00   15.83    3.83
 1997 218    70     0     0     1.5   10.8    7.3    3.5    0.15    0.30    0.51    0.63    0.63    0.57    0.04    0.12    0.26    0.23    0.24    0.36   16.07   12.69    0.01    0.00    0.00   16.07    4.02
 1997 219    71     0     0     1.7   10.6    7.1    3.6    0.18    0.31    0.46    0.59    0.61    0.58    0.04    0.12    0.27    0.23    0.24    0.36   16.33   12.91    0.01    0.00    0.00   16.33    4.29
 1997 220    72     0     0     1.7   10.7    7.1    3.6    0.24    0.33    0.46    0.57    0.60    0.58    0.04    0.12    0.27    0.23    0.24    0.37   16.59   13.15    0.01    0.00    0.00   16.59    4.46
 1997 221    73     0     0     1.7   10.8    7.2    3.6    0.31    0.37    0.48    0.55    0.59    0.58    0.02    0.12    0.27    0.23    0.24    0.37   16.84   13.39    0.01    0.00    0.00   16.84    4.63
 1997 222    74     0     0     1.7   10.9    7.3    3.6    0.37    0.41    0.50    0.54    0.58    0.59    0.03    0.12    0.27    0.23    0.24    0.37   17.09   13.64    0.01    0.00    0.00   17.09    4.78
 1997 223    75     0     0     1.7   11.0    7.4    3.6    0.41    0.44    0.53    0.53    0.58    0.59    0.02    0.11    0.27    0.23    0.24    0.37   17.35   13.89    0.01    0.00    0.00   17.35    4.93
 1997 224    76     0     0     1.7   11.0    7.4    3.6    0.44    0.47    0.50    0.52    0.58    0.59    0.02    0.11    0.27    0.23    0.24    0.37   17.60   14.15    0.01    0.00    0.00   17.60    5.19
 1997 225    77     0     0     1.7   11.1    7.5    3.6    0.48    0.50    0.52    0.51    0.58    0.60    0.02    0.10    0.27    0.23    0.24    0.38   17.85   14.41    0.01    0.00    0.00   17.85    5.32
 1997 226    78     0     0     1.7   11.1    7.5    3.6    0.50    0.53    0.50    0.51    0.58    0.60    0.01    0.10    0.27    0.23    0.24    0.38   18.10   14.66    0.01    0.00    0.00   18.10    5.55
 1997 227    79     0     0     1.7   11.2    7.7    3.6    0.53    0.52    0.53    0.53    0.58    0.60    0.01    0.09    0.27    0.23    0.24    0.38   18.34   14.90    0.01    0.00    0.00   18.34    5.67
 1997 228    80     0     0     1.7   11.2    7.6    3.6    0.51    0.51    0.52    0.52    0.58    0.61    0.03    0.09    0.27    0.23    0.24    0.38   18.58   15.14    0.01    0.00    0.00   18.58    5.95
 1997 229    81     0     0     1.7   11.2    7.6    3.6    0.55    0.51    0.51    0.52    0.59    0.61    0.02    0.08    0.26    0.23    0.24    0.38   18.82   15.39    0.01    0.00    0.00   18.82    6.17
 1997 230    82     0     0     1.7   11.3    7.7    3.5    0.12    0.28    0.65    0.66    0.60    0.61    0.02    0.08    0.26    0.23    0.24    0.38   19.05   15.64    0.01    0.00    0.00   19.05    6.31
 1997 231    83     0     0     1.8   11.3    7.6    3.6    0.14    0.27    0.57    0.61    0.64    0.64    0.04    0.10    0.27    0.23    0.24    0.39   19.31   15.82    0.01    0.00    0.00   19.31    6.53
 1997 232    84     0     0     1.9   11.2    7.5    3.7    0.19    0.29    0.51    0.59    0.63    0.65    0.04    0.11    0.28    0.23    0.24    0.39   19.58   16.06    0.01    0.00    0.00   19.58    6.82
 1997 233    85     0     0     1.9   11.3    7.6    3.7    0.16    0.29    0.53    0.60    0.63    0.65    0.02    0.11    0.28    0.23    0.24    0.39   19.85   16.33    0.01    0.00    0.00   19.85    7.00
 1997 234    86     0     0     2.1   11.0    7.3    3.7    0.19    0.29    0.46    0.56    0.61    0.66    0.04    0.12    0.29    0.24    0.24    0.39   20.12   16.54    0.01    0.00    0.00   20.12    7.28
 1997 235    87     0     0     2.1   11.1    7.4    3.7    0.25    0.32    0.47    0.54    0.60    0.66    0.04    0.12    0.29    0.24    0.24    0.39   20.40   16.81    0.01    0.00    0.00   20.40    7.45
 1997 236    88     0     0     2.1   11.2    7.5    3.7    0.31    0.35    0.49    0.53    0.59    0.67    0.02    0.12    0.29    0.24    0.23    0.39   20.67   17.10    0.01    0.00    0.00   20.67    7.62
 1997 237    89     0     0     2.1   11.3    7.6    3.7    0.23    0.40    0.53    0.53    0.59    0.67    0.03    0.11    0.28    0.23    0.23    0.39   20.94   17.39    0.01    0.00    0.00   20.94    7.78
 1997 238    90     0     0     2.2   11.2    7.5    3.7    0.27    0.40    0.48    0.52    0.59    0.68    0.04    0.12    0.28    0.23    0.23    0.39   21.22   17.64    0.01    0.00    0.00   21.22    8.10
 1997 239    91     0     0     2.2   11.3    7.6    3.7    0.26    0.43    0.52    0.52    0.58    0.68    0.04    0.12    0.28    0.23    0.23    0.40   21.49   17.93    0.01    0.00    0.00   21.49    8.26
 1997 240    92     0     0     2.2   11.3    7.6    3.7    0.30    0.44    0.47    0.51    0.58    0.69    0.05    0.12    0.28    0.23    0.23    0.40   21.76   18.20    0.01    0.00    0.00   21.76    8.57
 1997 241    93     0     0     2.2   11.5    7.8    3.7    0.23    0.46    0.52    0.54    0.59    0.69    0.04    0.12    0.27    0.23    0.23    0.40   22.03   18.48    0.01    0.00    0.00   22.03    8.66
 1997 242    94     0     0     2.3   11.3    7.6    3.7    0.28    0.44    0.47    0.52    0.57    0.69    0.05    0.12    0.28    0.23    0.23    0.40   22.30   18.72    0.01    0.00    0.00   22.30    8.96
