*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         DEC 04, 2014; 01:35:34
                                                                                
*RUN   1        : 97 DATE1 CHINESE          CRGRO045 GHNY9701    1              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN 1997 VARIETY X PLANTING DATE EXPERIMENT           
 DATA PATH      :                                                               
 TREATMENT  1   : 97 DATE1 CHINESE          CRGRO045                            
  
@YEAR DOY   DAS   DAP    CNAD    GNAD    VNAD    GN%D    VN%D     NFXC    NUPC    LNAD    SNAD    LN%D    SN%D    SHND   RN%D   NFXD   SNN0C   SNN1C
 1997 230    83    81   111.8    45.5    52.7    4.64    2.28    115.6     6.5    33.0    19.7    3.58    1.42     1.9    1.3    2.3    2.76    1.61
 1997 231    84    82   114.4    48.9    52.2    4.66    2.24    118.0     6.8    32.6    19.5    3.53    1.39     1.9    1.3    2.4    2.83    1.64
 1997 232    85    83   117.0    52.9    51.0    4.72    2.17    120.4     6.9    32.0    19.1    3.46    1.34     1.9    1.3    2.4    2.91    1.67
 1997 233    86    84   119.9    56.2    50.7    4.74    2.14    123.1     7.2    31.7    19.0    3.42    1.32     1.8    1.2    2.7    2.98    1.71
 1997 234    87    85   122.1    59.7    49.8    4.79    2.10    125.2     7.4    31.1    18.7    3.36    1.29     1.8    1.2    2.1    3.06    1.74
 1997 235    88    86   122.7    61.7    48.8    4.81    2.05    125.6     7.5    30.5    18.3    3.31    1.25     1.7    1.2    0.4    3.13    1.77
 1997 236    89    87   125.0    65.3    47.8    4.85    2.00    127.7     7.7    29.9    17.9    3.25    1.22     1.7    1.2    2.1    3.19    1.79
 1997 237    90    88   127.6    68.6    47.4    4.86    1.97    130.1     8.0    29.7    17.8    3.21    1.20     1.7    1.2    2.4    3.25    1.82
 1997 238    91    89   129.9    72.0    46.6    4.89    1.93    132.3     8.1    29.1    17.4    3.16    1.17     1.6    1.1    2.1    3.30    1.85
 1997 239    92    90   132.3    75.4    45.8    4.92    1.89    134.4     8.4    28.7    17.2    3.11    1.14     1.6    1.1    2.1    3.35    1.87
 1997 240    93    91   133.7    77.8    45.0    4.93    1.85    135.6     8.6    28.2    16.9    3.06    1.12     1.5    1.1    1.2    3.42    1.90
 1997 241    94    92   136.3    80.7    44.9    4.94    1.84    138.0     8.9    28.0    16.9    3.04    1.11     1.5    1.1    2.4    3.46    1.92
 1997 242    95    93   138.9    83.4    44.7    4.94    1.82    140.5     9.0    27.8    16.9    3.02    1.10     1.5    1.1    2.5    3.53    1.95
 1997 243    96    94   141.5    86.1    44.7    4.94    1.81    143.1     9.1    27.7    17.0    3.00    1.10     1.5    1.1    2.6    3.58    1.97
