*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         NOV 08, 2014; 00:45:26
                                                                                
*RUN   1        : 97 DATE1 CHINESE          CRGRO045 GHNY9701    1              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN 1997 VARIETY X PLANTING DATE EXPERIMENT           
 DATA PATH      :                                                               
 TREATMENT  1   : 97 DATE1 CHINESE          CRGRO045                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-30   30-45   45-60   60-90
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D    ES6D    
 1997 224    49  16.70  30.00  22.40  4.041  2.386  2.202  3.116  2.386  0.711  0.000  0.019  194.60  123.72   31.73   88.99    0.00    3.00   0.565   0.093   0.031   0.011   0.005   0.005
 1997 225    50  17.50  30.50  23.60  4.283  2.634  2.253  3.272  2.634  0.623  0.000  0.015  198.88  126.99   34.36   89.62    0.00    3.02   0.482   0.089   0.030   0.011   0.005   0.005
 1997 226    51  16.90  31.50  23.50  4.170  2.666  2.113  3.242  2.666  0.565  0.000  0.011  203.05  130.24   37.03   90.18    0.00    3.03   0.431   0.084   0.029   0.011   0.005   0.005
 1997 227    52   8.70  27.40  23.40  2.050  1.320  0.999  2.047  1.320  0.718  0.000  0.009  205.10  132.28   38.35   90.90    0.00    3.04   0.591   0.078   0.028   0.011   0.005   0.005
 1997 228    53  18.30  34.00  21.20  4.574  3.108  2.164  4.063  3.108  0.862  0.000  0.093  209.68  136.35   41.46   91.76    0.00    3.13   0.738   0.075   0.027   0.011   0.005   0.005
 1997 229    54  13.20  30.50  23.50  3.224  2.258  1.468  3.079  2.258  0.749  0.000  0.071  212.90  139.43   43.71   92.51    0.00    3.20   0.633   0.070   0.026   0.011   0.005   0.005
 1997 230    55  17.50  34.00  22.50  4.395  3.162  1.927  4.265  3.162  1.049  0.000  0.054  217.30  143.69   46.88   93.56    0.00    3.25   0.888   0.104   0.034   0.012   0.005   0.005
 1997 231    56  20.40  30.50  21.50  4.931  3.105  2.077  4.923  3.105  1.721  0.000  0.097  222.23  148.61   49.98   95.28    0.00    3.35   0.504   0.361   0.306   0.198   0.140   0.213
 1997 232    57  19.40  29.50  22.50  4.661  2.999  1.891  4.654  2.999  1.581  0.000  0.074  226.89  153.27   52.98   96.86    0.00    3.43   0.448   0.328   0.282   0.187   0.133   0.204
 1997 233    58  26.20  33.50  23.80  6.614  4.347  2.580  6.604  4.347  2.201  0.000  0.057  233.50  159.87   57.33   99.06    0.00    3.48   0.645   0.471   0.384   0.252   0.178   0.271
 1997 234    59  15.50  33.50  23.50  3.909  2.622  1.465  3.903  2.622  1.182  0.000  0.099  237.41  163.77   59.95  100.25    0.00    3.58   0.351   0.248   0.205   0.135   0.096   0.147
 1997 235    60   6.80  32.50  22.50  1.683  1.149  0.607  1.680  1.149  0.456  0.000  0.075  239.09  165.45   61.10  100.70    0.00    3.66   0.132   0.095   0.080   0.053   0.038   0.059
 1997 236    61  15.90  31.50  22.00  3.877  2.671  1.372  3.871  2.671  1.142  0.000  0.057  242.97  169.33   63.77  101.84    0.00    3.71   0.971   0.115   0.034   0.012   0.005   0.005
 1997 237    62  21.80  32.40  23.00  5.396  3.775  1.845  5.387  3.775  1.569  0.000  0.044  248.37  174.71   67.54  103.41    0.00    3.76   0.463   0.330   0.270   0.179   0.129   0.198
 1997 238    63  15.70  31.50  22.20  3.833  2.724  1.263  3.827  2.724  1.003  0.000  0.099  252.20  178.54   70.27  104.42    0.00    3.86   0.303   0.207   0.173   0.114   0.082   0.125
 1997 239    64  17.60  32.50  23.00  4.361  3.139  1.391  4.354  3.139  1.139  0.000  0.076  256.56  182.89   73.41  105.55    0.00    3.93   0.354   0.233   0.193   0.127   0.092   0.140
 1997 240    65   9.80  32.50  20.50  2.387  1.740  0.736  2.383  1.740  0.549  0.000  0.094  258.95  185.28   75.15  106.10    0.00    4.03   0.167   0.112   0.094   0.062   0.045   0.068
 1997 241    66  22.90  31.20  22.50  5.574  4.093  1.687  5.564  4.093  1.391  0.000  0.080  264.52  190.84   79.24  107.49    0.00    4.11   0.429   0.291   0.237   0.155   0.111   0.168
 1997 242    67  21.00  30.00  23.40  5.079  3.773  1.488  5.070  3.773  1.196  0.000  0.101  269.60  195.91   83.01  108.69    0.00    4.21   0.358   0.248   0.207   0.136   0.098   0.149
 1997 243    68  22.00  31.00  22.70  5.345  4.095  1.517  5.336  4.095  1.164  0.000  0.077  274.95  201.25   87.11  109.85    0.00    4.28   0.993   0.114   0.034   0.012   0.005   0.005
 1997 244    69  18.50  33.00  23.00  4.595  3.515  1.266  4.587  3.515  1.013  0.000  0.058  279.54  205.83   90.62  110.87    0.00    4.34   0.852   0.107   0.032   0.011   0.005   0.005
 1997 245    70  18.00  30.50  23.50  4.367  3.430  1.170  4.359  3.430  0.884  0.000  0.044  283.91  210.19   94.05  111.75    0.00    4.39   0.731   0.100   0.031   0.011   0.005   0.005
 1997 246    71  11.20  28.60  23.00  2.651  2.044  0.692  2.646  2.044  0.568  0.000  0.034  286.56  212.84   96.10  112.32    0.00    4.42   0.463   0.068   0.022   0.008   0.004   0.004
 1997 247    72  11.60  30.00  23.50  2.796  2.166  0.719  2.791  2.166  0.549  0.000  0.076  289.36  215.63   98.26  112.87    0.00    4.50   0.468   0.052   0.017   0.006   0.003   0.003
 1997 248    73  18.80  32.50  22.50  4.628  3.600  1.173  4.619  3.600  0.927  0.000  0.092  293.98  220.25  101.86  113.79    0.00    4.59   0.296   0.189   0.151   0.101   0.072   0.117
 1997 249    74  14.00  31.50  22.00  3.400  2.662  0.842  3.393  2.662  0.633  0.000  0.099  297.38  223.64  104.53  114.43    0.00    4.69   0.192   0.135   0.109   0.070   0.048   0.078
 1997 250    75  17.10  30.50  22.00  4.106  3.228  1.002  4.098  3.228  0.795  0.000  0.075  301.49  227.74  107.75  115.22    0.00    4.76   0.236   0.167   0.137   0.091   0.063   0.100
 1997 251    76  23.30  31.50  23.00  5.692  4.496  1.366  5.681  4.496  1.128  0.000  0.056  307.18  233.42  112.25  116.35    0.00    4.82   0.337   0.240   0.199   0.129   0.088   0.135
 1997 252    77  12.20  31.50  23.50  2.992  2.376  0.704  2.987  2.376  0.517  0.000  0.094  310.17  236.41  114.63  116.87    0.00    4.91   0.154   0.111   0.092   0.060   0.041   0.059
 1997 253    78  15.70  30.50  22.50  3.783  3.011  0.883  3.776  3.011  0.668  0.000  0.097  313.95  240.18  117.64  117.54    0.00    5.01   0.204   0.136   0.115   0.078   0.056   0.079
 1997 254    79  15.20  29.00  22.50  3.604  2.877  0.831  3.597  2.877  0.613  0.000  0.106  317.56  243.78  120.51  118.15    0.00    5.12   0.183   0.124   0.106   0.071   0.051   0.077
 1997 255    80  20.80  31.50  22.50  5.062  4.052  1.156  5.052  4.052  0.921  0.000  0.080  322.62  248.83  124.57  119.07    0.00    5.20   0.272   0.185   0.161   0.107   0.077   0.118
 1997 256    81  21.50  33.50  24.00  5.396  4.334  1.216  5.386  4.334  0.992  0.000  0.060  328.02  254.22  128.90  120.06    0.00    5.26   0.291   0.204   0.175   0.117   0.083   0.122
 1997 257    82  16.50  29.50  21.50  3.903  3.145  0.868  3.895  3.145  0.636  0.000  0.115  331.92  258.11  132.05  120.70    0.00    5.37   0.187   0.131   0.112   0.074   0.053   0.079
 1997 258    83  20.80  32.50  23.00  5.131  4.144  1.132  5.122  4.144  0.893  0.000  0.086  337.05  263.24  136.19  121.59    0.00    5.46   0.272   0.182   0.153   0.102   0.073   0.110
 1997 259    84  19.80  31.00  21.00  4.742  3.839  1.036  4.733  3.839  0.775  0.000  0.119  341.79  267.97  140.03  122.37    0.00    5.57   0.234   0.158   0.133   0.088   0.064   0.098
 1997 260    85  21.00  31.50  22.00  5.089  4.129  1.103  5.080  4.129  0.863  0.000  0.088  346.88  273.05  144.16  123.23    0.00    5.66   0.262   0.183   0.147   0.096   0.069   0.106
 1997 261    86   9.10  26.50  22.00  2.089  1.698  0.449  2.085  1.698  0.325  0.000  0.062  348.97  275.13  145.85  123.55    0.00    5.72   0.099   0.071   0.056   0.036   0.025   0.038
 1997 262    87  16.30  30.00  22.50  3.904  3.170  0.842  3.896  3.170  0.609  0.000  0.117  352.87  279.03  149.02  124.16    0.00    5.84   0.181   0.127   0.107   0.070   0.050   0.075
 1997 263    88  14.60  32.00  23.50  3.594  2.922  0.773  3.588  2.922  0.575  0.000  0.091  356.47  282.62  151.95  124.74    0.00    5.93   0.169   0.118   0.101   0.066   0.048   0.073
 1997 264    89  24.50  33.50  24.00  6.146  4.998  1.321  6.135  4.998  1.069  0.000  0.067  362.61  288.75  156.95  125.81    0.00    6.00   0.309   0.217   0.188   0.125   0.091   0.140
 1997 265    90  19.70  33.50  24.50  4.957  4.038  1.059  4.948  4.038  0.860  0.000  0.050  367.57  293.70  160.98  126.67    0.00    6.05   0.254   0.181   0.150   0.098   0.070   0.107
 1997 266    91   7.60  28.00  21.00  1.761  1.435  0.375  1.757  1.435  0.269  0.000  0.053  369.33  295.46  162.42  126.94    0.00    6.10   0.080   0.056   0.047   0.031   0.022   0.033
 1997 267    92  19.50  32.00  22.40  4.764  3.876  1.024  4.755  3.876  0.770  0.000  0.109  374.10  300.21  166.29  127.71    0.00    6.21   0.239   0.158   0.131   0.086   0.062   0.094
 1997 268    93   9.30  28.50  21.50  2.175  1.770  0.467  2.170  1.770  0.334  0.000  0.066  376.27  302.38  168.06  128.04    0.00    6.28   0.102   0.068   0.057   0.038   0.027   0.042
 1997 269    94  16.00  33.50  21.70  3.951  3.213  0.852  3.944  3.213  0.644  0.000  0.087  380.22  306.33  171.28  128.69    0.00    6.36   0.193   0.129   0.111   0.074   0.053   0.082
 1997 270    95  24.70  34.50  24.50  6.279  5.106  1.357  6.269  5.106  1.099  0.000  0.064  386.50  312.59  176.38  129.78    0.00    6.43   0.323   0.225   0.191   0.128   0.094   0.138
 1997 271    96  24.90  32.50  20.00  6.013  4.891  1.297  6.002  4.891  0.982  0.000  0.128  392.51  318.60  181.27  130.77    0.00    6.56   0.286   0.202   0.172   0.114   0.084   0.124
 1997 272    97  21.90  34.00  24.00  5.520  4.492  1.190  5.511  4.492  0.924  0.000  0.094  398.03  324.11  185.76  131.69    0.00    6.65   0.278   0.186   0.159   0.106   0.078   0.118
 1997 273    98  18.80  33.00  23.00  4.660  3.792  1.004  4.651  3.792  0.725  0.000  0.133  402.69  328.76  189.56  132.42    0.00    6.78   0.220   0.144   0.123   0.084   0.061   0.094
 1997 274    99  20.20  33.50  25.00  5.100  4.151  1.101  5.091  4.151  0.843  0.000  0.098  407.79  333.85  193.71  133.26    0.00    6.88   0.249   0.166   0.143   0.099   0.073   0.113
 1997 275   100  24.50  34.00  25.00  6.216  5.059  1.342  6.205  5.059  1.075  0.000  0.071  414.01  340.05  198.77  134.33    0.00    6.95   0.325   0.226   0.181   0.121   0.088   0.135
 1997 276   101  15.10  28.00  20.00  3.472  2.825  0.750  3.465  2.825  0.530  0.000  0.110  417.48  343.52  201.59  134.86    0.00    7.06   0.158   0.112   0.092   0.060   0.043   0.066
 1997 277   102  18.10  32.00  20.00  4.346  3.534  0.942  4.337  3.534  0.699  0.000  0.104  421.83  347.86  205.13  135.56    0.00    7.17   0.206   0.146   0.121   0.080   0.058   0.089
 1997 278   103   8.80  31.50  20.00  2.101  1.708  0.457  2.097  1.708  0.322  0.000  0.067  423.93  349.95  206.83  135.89    0.00    7.24   0.094   0.067   0.056   0.038   0.027   0.039
 1997 279   104  22.20  33.00  21.30  5.439  4.413  1.193  5.429  4.413  0.876  0.000  0.140  429.37  355.38  211.25  136.76    0.00    7.38   0.260   0.186   0.154   0.102   0.073   0.102
 1997 280   105  21.20  30.70  20.60  5.043  4.089  1.109  5.033  4.089  0.834  0.000  0.110  434.41  360.42  215.34  137.60    0.00    7.49   0.245   0.172   0.146   0.097   0.070   0.104
 1997 281   106   8.70  32.00  23.50  2.141  1.735  0.472  2.137  1.735  0.331  0.000  0.070  436.55  362.55  217.07  137.93    0.00    7.56   0.098   0.067   0.058   0.038   0.028   0.042
 1997 282   107  17.70  32.00  25.40  4.413  3.571  0.982  4.406  3.571  0.691  0.000  0.143  440.96  366.96  220.64  138.62    0.00    7.70   0.206   0.139   0.120   0.080   0.058   0.089
 1997 283   108  18.60  33.00  25.20  4.678  3.782  1.044  4.670  3.782  0.784  0.000  0.104  445.64  371.63  224.42  139.40    0.00    7.80   0.229   0.155   0.136   0.092   0.068   0.104
 1997 284   109  19.80  32.80  25.20  4.969  4.015  1.113  4.960  4.015  0.870  0.000  0.075  450.61  376.59  228.44  140.27    0.00    7.88   0.248   0.168   0.152   0.105   0.077   0.121
 1997 285   110  17.60  33.70  24.00  4.420  3.569  0.993  4.412  3.569  0.789  0.000  0.054  455.03  381.00  232.01  141.06    0.00    7.93   0.672   0.075   0.024   0.009   0.004   0.004
 1997 286   111  20.40  33.80  23.40  5.106  4.179  1.152  5.097  4.179  0.878  0.000  0.039  460.14  386.10  236.19  141.94    0.00    7.97   0.739   0.089   0.029   0.011   0.005   0.005
 1997 287   112  12.50  32.00  24.20  3.087  2.489  0.698  3.081  2.489  0.564  0.000  0.028  463.22  389.18  238.68  142.50    0.00    8.00   0.467   0.060   0.021   0.008   0.004   0.004
 1997 288   113  21.60  31.40  21.50  5.201  4.187  1.185  5.191  4.187  0.945  0.000  0.059  468.43  394.37  242.86  143.45    0.00    8.06   0.810   0.091   0.026   0.010   0.005   0.005
 1997 289   114  24.30  33.20  22.20  6.002  4.829  1.372  5.991  4.829  1.033  0.000  0.129  474.43  400.36  247.69  144.48    0.00    8.19   0.328   0.223   0.156   0.108   0.082   0.136
 1997 290   115  12.10  33.00  23.40  3.006  2.417  0.689  3.000  2.417  0.491  0.000  0.093  477.43  403.36  250.11  144.97    0.00    8.28   0.423   0.047   0.012   0.004   0.002   0.002
 1997 291   116  12.70  35.40  23.20  3.287  2.640  0.758  3.281  2.640  0.575  0.000  0.067  480.72  406.64  252.75  145.55    0.00    8.35   0.180   0.128   0.092   0.058   0.043   0.074
 1997 292   117  12.80  30.40  21.40  3.053  2.448  0.708  3.047  2.448  0.490  0.000  0.109  483.77  409.69  255.20  146.04    0.00    8.46   0.151   0.106   0.085   0.051   0.035   0.061
 1997 293   118  12.50  33.00  23.00  3.097  2.481  0.722  3.092  2.481  0.499  0.000  0.111  486.87  412.78  257.68  146.54    0.00    8.57   0.152   0.105   0.087   0.055   0.036   0.063
 1997 294   119  12.00  33.40  23.00  2.985  2.389  0.699  2.980  2.389  0.506  0.000  0.085  489.85  415.76  260.07  147.04    0.00    8.65   0.433   0.049   0.015   0.005   0.002   0.002
 1997 295   120  20.60  33.00  23.90  5.134  4.104  1.208  5.125  4.104  0.960  0.000  0.061  494.99  420.89  264.17  148.00    0.00    8.71   0.817   0.097   0.029   0.010   0.004   0.004
 1997 296   121  24.40  33.00  21.80  5.991  4.979  1.413  5.980  4.979  0.957  0.000  0.043  500.98  426.87  269.15  148.96    0.00    8.76   0.803   0.103   0.032   0.011   0.004   0.005
 1997 297   122  20.60  34.00  23.60  5.172  4.131  1.222  5.163  4.131  1.001  0.000  0.031  506.15  432.03  273.28  149.96    0.00    8.79   0.859   0.097   0.027   0.009   0.004   0.005
 1997 298   123  19.80  34.00  22.00  4.924  3.931  1.166  4.915  3.931  0.838  0.000  0.147  511.08  436.94  277.21  150.80    0.00    8.93   0.273   0.179   0.128   0.088   0.059   0.110

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         NOV 08, 2014; 00:45:26
                                                                                
*RUN   5        : 97 DATE3 CHINESE          CRGRO045 GHNY9701    5              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN 1997 VARIETY X PLANTING DATE EXPERIMENT           
 DATA PATH      :                                                               
 TREATMENT  5   : 97 DATE3 CHINESE          CRGRO045                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-30   30-45   45-60   60-90
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D    ES6D    
 1997 204     1  16.80  32.00  22.50  4.264  0.000  4.264  3.747  0.000  3.703  0.000  0.044    4.26    3.75    0.00    3.70    0.00    0.04   1.080   0.643   0.547   0.489   0.353   0.590
 1997 205     2  15.90  31.70  22.30  4.080  0.000  4.080  1.196  0.000  1.117  0.000  0.078    8.34    4.94    0.00    4.82    0.00    0.12   0.997   0.077   0.023   0.011   0.005   0.005
 1997 206     3  20.80  30.00  21.50  5.215  0.000  5.215  1.159  0.000  1.079  0.000  0.081   13.56    6.10    0.00    5.90    0.00    0.20   0.958   0.077   0.023   0.011   0.005   0.005
 1997 207     4  20.70  32.00  23.00  5.337  0.000  5.337  1.053  0.000  0.991  0.000  0.062   18.90    7.16    0.00    6.89    0.00    0.26   0.871   0.076   0.023   0.011   0.005   0.005
 1997 208     5  18.60  32.50  23.50  4.820  0.000  4.820  0.959  0.000  0.912  0.000  0.047   23.72    8.11    0.00    7.80    0.00    0.31   0.792   0.076   0.023   0.011   0.005   0.005
 1997 209     6  21.20  32.00  23.00  5.429  0.000  5.429  0.876  0.000  0.839  0.000  0.036   29.15    8.99    0.00    8.64    0.00    0.35   0.720   0.075   0.023   0.011   0.005   0.005
 1997 210     7  12.60  31.00  23.50  3.195  0.000  3.195  1.034  0.000  1.006  0.000  0.028   32.34   10.02    0.00    9.65    0.00    0.38   0.884   0.078   0.023   0.011   0.005   0.005
 1997 211     8   9.80  29.50  22.00  2.460  0.000  2.460  2.162  0.000  2.072  0.000  0.090   34.80   12.19    0.00   11.72    0.00    0.47   0.711   0.408   0.280   0.229   0.166   0.279
 1997 212     9   7.80  27.00  21.50  1.909  0.000  1.909  1.678  0.000  1.604  0.000  0.074   36.71   13.86    0.00   13.32    0.00    0.54   0.511   0.351   0.239   0.170   0.124   0.208
 1997 213    10  10.80  27.60  22.60  2.667  0.024  2.653  2.355  0.024  2.275  0.000  0.057   39.38   16.22    0.02   15.60    0.00    0.60   0.712   0.493   0.356   0.242   0.176   0.296
 1997 214    11  21.20  31.00  22.60  5.423  0.056  5.392  1.324  0.056  1.176  0.000  0.092   44.80   17.54    0.08   16.77    0.00    0.69   1.009   0.116   0.030   0.010   0.005   0.005
 1997 215    12  18.60  33.40  22.30  4.849  0.063  4.813  1.216  0.063  1.082  0.000  0.071   49.65   18.76    0.14   17.86    0.00    0.76   0.916   0.116   0.030   0.010   0.005   0.005
 1997 216    13  11.80  29.50  24.20  2.980  0.051  2.952  1.102  0.051  0.997  0.000  0.054   52.63   19.86    0.19   18.85    0.00    0.82   0.832   0.115   0.030   0.010   0.005   0.005
 1997 217    14  13.50  30.00  22.50  3.375  0.073  3.333  3.003  0.073  2.888  0.000  0.042   56.00   22.86    0.27   21.74    0.00    0.86   0.802   0.637   0.506   0.339   0.239   0.364
 1997 218    15   7.50  28.00  21.00  1.845  0.050  1.817  1.647  0.050  1.506  0.000  0.091   57.85   24.51    0.32   23.25    0.00    0.95   0.441   0.313   0.266   0.176   0.125   0.184
 1997 219    16  12.60  30.00  22.50  3.186  0.102  3.129  2.851  0.102  2.679  0.000  0.070   61.04   27.36    0.42   25.93    0.00    1.02   0.783   0.552   0.472   0.311   0.223   0.339
 1997 220    17  21.90  30.40  21.10  5.488  0.203  5.372  4.924  0.203  4.668  0.000  0.054   66.52   32.29    0.62   30.59    0.00    1.07   1.309   0.965   0.835   0.554   0.397   0.606
 1997 221    18  14.10  31.40  23.00  3.600  0.148  3.515  1.199  0.148  1.009  0.000  0.041   70.12   33.49    0.77   31.60    0.00    1.11   0.842   0.110   0.034   0.012   0.005   0.005
 1997 222    19  21.00  30.00  23.00  5.263  0.248  5.121  1.209  0.248  0.929  0.000  0.032   75.39   34.69    1.02   32.53    0.00    1.15   0.763   0.109   0.034   0.012   0.005   0.005
 1997 223    20  21.40  30.80  22.50  5.372  0.282  5.211  1.160  0.282  0.854  0.000  0.024   80.76   35.86    1.30   33.39    0.00    1.17   0.690   0.108   0.034   0.012   0.005   0.005
 1997 224    21  16.70  30.00  22.40  4.141  0.238  4.004  1.043  0.238  0.786  0.000  0.019   84.90   36.90    1.54   34.17    0.00    1.19   0.622   0.107   0.034   0.012   0.005   0.005
 1997 225    22  17.50  30.50  23.60  4.387  0.288  4.221  1.026  0.288  0.724  0.000  0.014   89.29   37.92    1.82   34.90    0.00    1.20   0.562   0.106   0.034   0.012   0.005   0.005
 1997 226    23  16.90  31.50  23.50  4.267  0.319  4.082  0.998  0.319  0.668  0.000  0.011   93.55   38.92    2.14   35.56    0.00    1.21   0.507   0.105   0.033   0.012   0.005   0.005
 1997 227    24   8.70  27.40  23.40  2.096  0.178  1.992  1.007  0.178  0.820  0.000  0.008   95.65   39.93    2.32   36.38    0.00    1.22   0.661   0.103   0.033   0.012   0.005   0.005
 1997 228    25  18.30  34.00  21.20  4.720  0.448  4.457  1.497  0.448  0.961  0.000  0.089  100.37   41.43    2.77   37.35    0.00    1.31   0.803   0.102   0.033   0.012   0.005   0.005
 1997 229    26  13.20  30.50  23.50  3.322  0.355  3.112  1.303  0.355  0.879  0.000  0.068  103.69   42.73    3.13   38.22    0.00    1.38   0.723   0.101   0.033   0.012   0.005   0.005
 1997 230    27  17.50  34.00  22.50  4.521  0.544  4.198  4.232  0.544  3.636  0.000  0.052  108.21   46.96    3.67   41.86    0.00    1.43   0.960   0.760   0.665   0.450   0.331   0.470
 1997 231    28  20.40  30.50  21.50  5.135  0.695  4.717  4.841  0.695  4.053  0.000  0.092  113.35   51.80    4.36   45.91    0.00    1.52   1.178   0.840   0.714   0.473   0.346   0.502
 1997 232    29  19.40  29.50  22.50  4.828  0.726  4.389  4.582  0.726  3.785  0.000  0.071  118.18   56.39    5.09   49.70    0.00    1.60   1.043   0.795   0.678   0.449   0.326   0.495
 1997 233    30  26.20  33.50  23.80  6.829  1.141  6.132  6.529  1.141  5.334  0.000  0.054  125.01   62.91    6.23   55.03    0.00    1.65   1.526   1.153   0.938   0.613   0.441   0.663
 1997 234    31  15.50  33.50  23.50  4.062  0.723  3.618  3.902  0.723  3.086  0.000  0.093  129.07   66.82    6.95   58.12    0.00    1.74   0.904   0.651   0.539   0.353   0.253   0.386
 1997 235    32   6.80  32.50  22.50  1.742  0.346  1.527  1.688  0.346  1.270  0.000  0.071  130.81   68.50    7.30   59.39    0.00    1.81   0.354   0.268   0.226   0.149   0.108   0.165
 1997 236    33  15.90  31.50  22.00  4.008  0.861  3.467  2.010  0.861  1.095  0.000  0.054  134.82   70.51    8.16   60.48    0.00    1.87   0.921   0.116   0.035   0.012   0.005   0.005
 1997 237    34  21.80  32.40  23.00  5.562  1.307  4.731  5.463  1.307  4.114  0.000  0.042  140.38   75.98    9.47   64.60    0.00    1.91   1.189   0.876   0.719   0.472   0.339   0.518
 1997 238    35  15.70  31.50  22.20  3.978  1.004  3.332  3.931  1.004  2.835  0.000  0.092  144.36   79.91   10.47   67.43    0.00    2.00   0.843   0.586   0.494   0.324   0.232   0.356
 1997 239    36  17.60  32.50  23.00  4.506  1.240  3.696  4.487  1.240  3.177  0.000  0.070  148.87   84.39   11.71   70.61    0.00    2.07   0.971   0.652   0.546   0.358   0.257   0.393
 1997 240    37   9.80  32.50  20.50  2.474  0.731  1.982  2.472  0.731  1.647  0.000  0.094  151.34   86.87   12.44   72.26    0.00    2.17   0.496   0.337   0.285   0.188   0.135   0.207
 1997 241    38  22.90  31.20  22.50  5.755  1.787  4.514  5.752  1.787  3.893  0.000  0.072  157.09   92.62   14.23   76.15    0.00    2.24   1.189   0.817   0.667   0.435   0.312   0.474
 1997 242    39  21.00  30.00  23.40  5.251  1.702  4.037  5.247  1.702  3.452  0.000  0.094  162.35   97.87   15.93   79.60    0.00    2.33   1.024   0.719   0.600   0.393   0.284   0.431
 1997 243    40  22.00  31.00  22.70  5.499  2.006  4.105  3.192  2.006  1.114  0.000  0.072  167.84  101.06   17.94   80.72    0.00    2.40   0.943   0.114   0.034   0.012   0.005   0.005
 1997 244    41  18.50  33.00  23.00  4.712  1.826  3.422  2.877  1.826  0.996  0.000  0.055  172.56  103.93   19.76   81.71    0.00    2.46   0.830   0.110   0.033   0.012   0.005   0.005
 1997 245    42  18.00  30.50  23.50  4.464  1.852  3.128  2.786  1.852  0.892  0.000  0.042  177.02  106.72   21.61   82.60    0.00    2.50   0.730   0.107   0.033   0.012   0.005   0.005
 1997 246    43  11.20  28.60  23.00  2.702  1.193  1.823  2.045  1.193  0.820  0.000  0.033  179.72  108.77   22.81   83.42    0.00    2.53   0.662   0.103   0.032   0.011   0.005   0.005
 1997 247    44  11.60  30.00  23.50  2.846  1.323  1.853  2.386  1.323  0.993  0.000  0.070  182.57  111.15   24.13   84.42    0.00    2.60   0.838   0.102   0.032   0.011   0.005   0.005
 1997 248    45  18.80  32.50  22.50  4.736  2.130  2.964  4.732  2.130  2.521  0.000  0.081  187.31  115.88   26.26   86.94    0.00    2.69   0.776   0.526   0.424   0.281   0.202   0.311
 1997 249    46  14.00  31.50  22.00  3.484  1.639  2.098  3.481  1.639  1.755  0.000  0.087  190.79  119.36   27.90   88.69    0.00    2.77   0.522   0.371   0.304   0.199   0.142   0.216
 1997 250    47  17.10  30.50  22.00  4.194  2.031  2.459  4.189  2.031  2.091  0.000  0.067  194.98  123.55   29.93   90.78    0.00    2.84   0.604   0.436   0.367   0.243   0.174   0.268
 1997 251    48  23.30  31.50  23.00  5.800  2.888  3.310  5.793  2.888  2.853  0.000  0.051  200.78  129.35   32.82   93.64    0.00    2.89   0.832   0.606   0.510   0.328   0.231   0.347
 1997 252    49  12.20  31.50  23.50  3.054  1.565  1.694  3.051  1.565  1.391  0.000  0.094  203.84  132.40   34.38   95.03    0.00    2.99   0.410   0.298   0.249   0.161   0.112   0.161
 1997 253    50  15.70  30.50  22.50  3.860  2.028  2.085  3.856  2.028  1.747  0.000  0.081  207.70  136.25   36.41   96.78    0.00    3.07   0.531   0.355   0.301   0.203   0.148   0.209
 1997 254    51  15.20  29.00  22.50  3.672  1.977  1.928  3.667  1.977  1.595  0.000  0.095  211.37  139.92   38.39   98.37    0.00    3.16   0.474   0.324   0.278   0.185   0.134   0.200
 1997 255    52  20.80  31.50  22.50  5.143  2.832  2.630  5.137  2.832  2.232  0.000  0.072  216.51  145.06   41.22  100.60    0.00    3.23   0.646   0.452   0.393   0.261   0.189   0.290
 1997 256    53  21.50  33.50  24.00  5.471  3.081  2.720  5.464  3.081  2.328  0.000  0.055  221.98  150.52   44.30  102.93    0.00    3.29   0.671   0.482   0.413   0.277   0.196   0.288
 1997 257    54  16.50  29.50  21.50  3.963  2.282  1.913  3.958  2.282  1.579  0.000  0.096  225.95  154.48   46.58  104.51    0.00    3.39   0.461   0.327   0.278   0.185   0.132   0.196
 1997 258    55  20.80  32.50  23.00  5.199  3.048  2.448  5.192  3.048  2.070  0.000  0.074  231.15  159.67   49.63  106.58    0.00    3.46   0.627   0.424   0.357   0.238   0.170   0.255
 1997 259    56  19.80  31.00  21.00  4.807  2.873  2.202  4.800  2.873  1.830  0.000  0.098  235.95  164.47   52.50  108.41    0.00    3.56   0.549   0.372   0.317   0.209   0.151   0.232
