*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         NOV 08, 2014; 00:45:26
                                                                                
*RUN   1        : 97 DATE1 CHINESE          CRGRO045 GHNY9701    1              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN 1997 VARIETY X PLANTING DATE EXPERIMENT           
 DATA PATH      :                                                               
 TREATMENT  1   : 97 DATE1 CHINESE          CRGRO045                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-30   30-45   45-60   60-90
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D    ES6D    
 1997 235    88   6.80  32.50  22.50  1.682  1.135  0.630  1.680  1.135  0.460  0.000  0.085  362.31  276.99  134.18  137.30    0.00    5.52   0.138   0.101   0.082   0.052   0.035   0.053
 1997 236    89  15.90  31.50  22.00  3.878  2.610  1.459  3.872  2.610  1.199  0.000  0.063  366.19  280.86  136.79  138.49    0.00    5.58   0.357   0.256   0.213   0.139   0.094   0.139
 1997 237    90  21.80  32.40  23.00  5.402  3.628  2.043  5.394  3.628  1.718  0.000  0.047  371.59  286.26  140.42  140.21    0.00    5.63   0.542   0.377   0.293   0.189   0.127   0.190
 1997 238    91  15.70  31.50  22.20  3.841  2.578  1.454  3.835  2.578  1.143  0.000  0.114  375.43  290.09  143.00  141.36    0.00    5.74   0.363   0.249   0.194   0.126   0.085   0.126
 1997 239    92  17.60  32.50  23.00  4.371  2.928  1.662  4.364  2.928  1.351  0.000  0.085  379.80  294.46  145.92  142.71    0.00    5.83   0.442   0.293   0.225   0.146   0.098   0.147
 1997 240    93   9.80  32.50  20.50  2.395  1.602  0.914  2.391  1.602  0.671  0.000  0.118  382.20  296.85  147.53  143.38    0.00    5.94   0.216   0.143   0.114   0.074   0.050   0.075
 1997 241    94  22.90  31.20  22.50  5.592  3.733  2.143  5.584  3.733  1.763  0.000  0.088  387.79  302.43  151.26  145.14    0.00    6.03   0.572   0.394   0.293   0.189   0.127   0.188
 1997 242    95  21.00  30.00  23.40  5.100  3.404  1.956  5.092  3.404  1.569  0.000  0.119  392.89  307.52  154.66  146.71    0.00    6.15   0.492   0.351   0.266   0.172   0.116   0.172
 1997 243    96  22.00  31.00  22.70  5.366  3.580  2.059  5.357  3.580  1.688  0.000  0.089  398.26  312.88  158.24  148.40    0.00    6.24   0.511   0.366   0.294   0.192   0.130   0.195
 1997 244    97  18.50  33.00  23.00  4.613  3.406  1.771  4.606  3.406  1.134  0.000  0.066  402.87  317.49  161.65  149.53    0.00    6.31   0.964   0.116   0.034   0.011   0.005   0.005
 1997 245    98  18.00  30.50  23.50  4.382  3.330  1.684  4.375  3.330  0.996  0.000  0.049  407.25  321.86  164.98  150.53    0.00    6.35   0.833   0.110   0.032   0.011   0.005   0.005
 1997 246    99  11.20  28.60  23.00  2.659  1.774  1.023  2.655  1.774  0.845  0.000  0.036  409.91  324.52  166.75  151.37    0.00    6.39   0.698   0.098   0.030   0.010   0.004   0.004
 1997 247   100  11.60  30.00  23.50  2.805  1.868  1.082  2.801  1.868  0.849  0.000  0.083  412.72  327.32  168.62  152.22    0.00    6.47   0.726   0.082   0.025   0.009   0.004   0.004
 1997 248   101  18.80  32.50  22.50  4.650  3.093  1.799  4.643  3.093  1.448  0.000  0.102  417.37  331.96  171.71  153.67    0.00    6.58   0.478   0.324   0.234   0.150   0.102   0.160
 1997 249   102  14.00  31.50  22.00  3.421  2.275  1.324  3.416  2.275  1.031  0.000  0.109  420.79  335.37  173.99  154.70    0.00    6.69   0.328   0.241   0.172   0.108   0.070   0.111

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         NOV 08, 2014; 00:45:26
                                                                                
*RUN   2        : 97 DATE1 F-MIX            CRGRO045 GHNY9701    2              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN 1997 VARIETY X PLANTING DATE EXPERIMENT           
 DATA PATH      :                                                               
 TREATMENT  2   : 97 DATE1 F-MIX            CRGRO045                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-30   30-45   45-60   60-90
