*PLANT C OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         DEC 04, 2014; 01:35:34
                                                                                
*RUN   1        : 97 DATE1 CHINESE          CRGRO045 GHNY9701    1              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN 1997 VARIETY X PLANTING DATE EXPERIMENT           
 DATA PATH      :                                                               
 TREATMENT  1   : 97 DATE1 CHINESE          CRGRO045                            
  
@YEAR DOY   DAS   DAP   TWAD    PHAD    CMAD    CGRD    GRAD    MRAD    CHAD   CL%D   CS%D   TGNN   TGAV    GN%D    GL%D    GC%D
 1997 227    80    78   4087 15.5526  0.0000  4.7458  3.6711  3.0299 2.23804  7.952 15.271 26.751 25.332  4.4868 50.8400 12.6172
 1997 228    81    79   4177 24.8108  0.8034 10.7295  6.5040  4.0652 0.76030  7.939 15.202 31.921 27.381  4.5320 50.7650 12.4100
 1997 229    82    80   4247 20.5332  0.0000  6.3168  5.3405  3.6763 2.29247  8.510 16.399 29.362 26.879  4.6055 50.6217 12.0936
 1997 230    83    81   4329 23.8617  0.7444  9.7110  6.3334  4.2074 0.75837  8.517 16.359 32.128 28.050  4.6413 50.5728 11.9189
 1997 231    84    82   4419 25.0035  0.6105 10.3206  6.8327  3.6713 0.82609  8.566 16.407 29.034 25.843  4.6579 50.5286 11.8597
 1997 232    85    83   4508 24.3658  0.0000  7.8244  6.5631  3.6458 2.58154  9.181 17.692 28.359 25.877  4.7176 50.3969 11.6181
 1997 233    86    84   4598 25.8242  1.0418 10.6954  6.8931  4.4640 0.84543  9.125 17.530 31.917 28.478  4.7432 50.3701 11.4851
 1997 234    87    85   4666 21.4573  0.0000  6.9790  5.7303  4.1998 1.38699  9.459 18.180 31.866 28.321  4.7861 50.3024 11.2842
 1997 235    88    86   4697 11.7618  0.0000  3.5129  2.6419  3.4192 0.94854  9.714 18.654 30.865 27.320  4.8084 50.2609 11.1864
 1997 236    89    87   4769 21.1591  0.0000  6.4783  5.7473  3.7200 1.98549 10.182 19.603 29.945 26.578  4.8461 50.1825 11.0292
 1997 237    90    88   4847 23.5413  0.9826  9.2774  6.5143  4.0951 0.82954 10.138 19.461 30.860 27.529  4.8564 50.1709 10.9766
 1997 238    91    89   4915 20.4182  0.0000  6.2511  5.5763  3.7184 1.73170 10.543 20.269 29.975 26.679  4.8874 50.1070 10.8469
 1997 239    92    90   4986 21.2799  0.0000  6.7324  5.7655  3.9990 1.50979 10.893 20.950 30.940 27.574  4.9156 50.0570 10.7203
 1997 240    93    91   5028 14.4508  0.0000  4.2909  3.7153  3.3606 1.09430 11.162 21.459 30.528 26.277  4.9343 50.0159 10.6451
 1997 241    94    92   5103 22.0047  1.3684  9.0564  6.1043  3.8027 0.83355 11.019 21.131 29.769 26.687  4.9361 50.0120 10.6376
 1997 242    95    93   5174 21.3544  1.3831  8.8326  5.9031  3.7383 0.81717 10.868 20.795 28.913 26.575  4.9382 50.0067 10.6296
 1997 243    96    94   5246 21.3283  1.3696  8.7161  5.8695  3.7956 0.85370 10.723 20.478 29.632 26.692  4.9412 50.0005 10.6172
 1997 244    97    95   5311 20.2656  1.3763  8.1385  5.4891  4.0645 0.77182 10.565 20.142 31.350 27.809  4.9455 49.9989 10.5918
 1997 245    98    96   5374 19.7108  1.3786  7.8902  5.4486  3.7761 0.77664 10.411 19.816 29.344 26.865  4.9470 49.9966 10.5844
 1997 246    99    97   5421 14.8727  0.0000  4.3195  3.8798  3.2530 1.27835 10.699 20.391 27.674 25.691  4.9620 49.9602 10.5274
 1997 247   100    98   5467 14.9684  0.0000  4.2755  3.8738  3.4820 1.19676 10.968 20.925 28.924 26.623  4.9761 49.9307 10.4686
 1997 248   101    99   5531 19.0950  1.4643  7.6800  5.0503  3.8962 0.94752 10.815 20.604 30.843 27.303  4.9775 49.9309 10.4596
 1997 249   102   100   5602 16.3831  0.0000  3.6605  2.4819  3.5808 4.26542 11.661 22.412 29.924 26.562  4.9368 50.0142 10.6308

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         DEC 04, 2014; 01:35:35
                                                                                
*RUN   2        : 97 DATE1 F-MIX            CRGRO045 GHNY9701    2              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN 1997 VARIETY X PLANTING DATE EXPERIMENT           
 DATA PATH      :                                                               
 TREATMENT  2   : 97 DATE1 F-MIX            CRGRO045                            
  
@YEAR DOY   DAS   DAP   TWAD    PHAD    CMAD    CGRD    GRAD    MRAD    CHAD   CL%D   CS%D   TGNN   TGAV    GN%D    GL%D    GC%D
 1997 149     2     0      0  0.0000  0.0000  0.0000  0.0000  0.0000 0.00000  0.000  0.000 30.992 27.616  0.0000  0.0000  0.0000
 1997 150     3     1      0  0.0000  0.0000  0.0000  0.0000  0.0000 0.00000  0.000  0.000 32.445 28.962  0.0000  0.0000  0.0000
 1997 151     4     2      0  0.0000  0.0000  0.0000  0.0000  0.0000 0.00000  0.000  0.000 31.652 28.631  0.0000  0.0000  0.0000
 1997 152     5     3      0  0.0000  0.0000  0.0000  0.0000  0.0000 0.00000  0.000  0.000 31.415 27.860  0.0000  0.0000  0.0000
 1997 153     6     4      0  0.0000  0.0000  0.0000  0.0000  0.0000 0.00000  0.000  0.000 31.984 28.358  0.0000  0.0000  0.0000
 1997 154     7     5      0  0.0000  0.0000  0.0000  0.0000  0.0000 0.00000  0.000  0.000 31.726 27.745  0.0000  0.0000  0.0000
 1997 155     8     6      0  0.0000  0.0000  0.0000  0.0000  0.0000 0.00000  0.000  0.000 30.154 27.133  0.0000  0.0000  0.0000
 1997 156     9     7      0  0.0000  0.0000  0.0000  0.0000  0.0000 0.00000  0.000  0.000 26.130 24.174  0.0000  0.0000  0.0000
 1997 157    10     8     25  0.0000  0.0012  0.0014  0.0002  0.0000 0.00000  2.956  5.908 30.307 26.503  0.0000  0.0000  0.0000
 1997 158    11     9     27  0.3144  0.0013  0.2778  0.0355  0.0321 0.00000  2.931  5.820 29.703 26.788  0.0000  0.0000  0.0000
 1997 159    12    10     30  0.3702  0.0014  0.2677  0.0609  0.0414 0.00000  2.895  5.743 32.066 28.618  0.0000  0.0000  0.0000
 1997 160    13    11     33  0.5261  0.0015  0.3818  0.0995  0.0516 0.00000  2.893  5.678 32.261 28.350  0.0000  0.0000  0.0000
 1997 161    14    12     37  0.5339  0.0016  0.3713  0.1080  0.0525 0.00000  2.890  5.620 30.994 27.829  0.0000  0.0000  0.0000
 1997 162    15    13     39  0.4514  0.0018  0.3031  0.0941  0.0439 0.00000  2.881  5.564 26.821 25.967  0.0000  0.0000  0.0000
 1997 163    16    14     45  0.8436  0.0000  0.5776  0.1465  0.0636 0.00989  3.316  5.918 28.999 25.622  0.0000  0.0000  0.0000
 1997 164    17    15     49  0.7191  0.0023  0.4621  0.1459  0.0674 0.00000  3.262  5.852 29.816 27.149  0.0000  0.0000  0.0000
 1997 165    18    16     55  0.9867  0.0016  0.6696  0.1776  0.0792 0.00000  3.228  5.835 29.516 26.173  0.0000  0.0000  0.0000
