*PEST AND DISEASE DAMAGE OUTPUT FILE


*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         NOV 08, 2014; 00:45:26
                                                                                
*RUN   1        : 97 DATE1 CHINESE          CRGRO045 GHNY9701    1              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN 1997 VARIETY X PLANTING DATE EXPERIMENT           
 DATA PATH      :                                                               
 TREATMENT  1   : 97 DATE1 CHINESE          CRGRO045                            
  
@YEAR DOY   DAS   DAP    DLA   DLA%    DLAI    DLFM    DSTM   DSDM   DSD#   DSHM   DSH#   DRTM    DRLV  DRLF   DASM   DPO%   CLAI    CLFM    CSTM    CSDM   CSD#  CSHM   CSH#   CRTM   CRLV   CRLF    CASM   CPO% 
 1997 229    82    80      0    0.0     0.0       0       0      0    0.0    0.0    0.0    0.0   0.00   0.00   0.00   0.00    0.0       0       0      0      0     0.      0     0.    0.0    0.0     0.0    0.0
 1997 230    83    81      0    0.0     0.0       0       0      0    0.0    0.0    0.0    0.0   0.00   0.00   0.00   0.00    0.0       0       0      0      0     0.      0     0.    0.0    0.0     0.0    0.0
 1997 231    84    82      0    0.0     0.0       0       0      0    0.0    0.0    0.0    0.0   0.00   0.00   0.00   0.00    0.0       0       0      0      0     0.      0     0.    0.0    0.0     0.0    0.0
 1997 232    85    83      0    0.0     0.0       0       0      0    0.0    0.0    0.0    0.0   0.00   0.00   0.00   0.00    0.0       0       0      0      0     0.      0     0.    0.0    0.0     0.0    0.0
 1997 233    86    84      0    0.0     0.0       0       0      0    0.0    0.0    0.0    0.0   0.00   0.00   0.00   0.00    0.0       0       0      0      0     0.      0     0.    0.0    0.0     0.0    0.0
 1997 234    87    85      0    0.0     0.0       0       0      0    0.0    0.0    0.0    0.0   0.00   0.00   0.00   0.00    0.0       0       0      0      0     0.      0     0.    0.0    0.0     0.0    0.0
 1997 235    88    86      0    0.0     0.0       0       0      0    0.0    0.0    0.0    0.0   0.00   0.00   0.00   0.00    0.0       0       0      0      0     0.      0     0.    0.0    0.0     0.0    0.0
 1997 236    89    87      0    0.0     0.0       0       0      0    0.0    0.0    0.0    0.0   0.00   0.00   0.00   0.00    0.0       0       0      0      0     0.      0     0.    0.0    0.0     0.0    0.0
 1997 237    90    88      0    0.0     0.0       0       0      0    0.0    0.0    0.0    0.0   0.00   0.00   0.00   0.00    0.0       0       0      0      0     0.      0     0.    0.0    0.0     0.0    0.0
 1997 238    91    89      0    0.0     0.0       0       0      0    0.0    0.0    0.0    0.0   0.00   0.00   0.00   0.00    0.0       0       0      0      0     0.      0     0.    0.0    0.0     0.0    0.0
 1997 239    92    90      0    0.0     0.0       0       0      0    0.0    0.0    0.0    0.0   0.00   0.00   0.00   0.00    0.0       0       0      0      0     0.      0     0.    0.0    0.0     0.0    0.0
 1997 240    93    91      0    0.0     0.0       0       0      0    0.0    0.0    0.0    0.0   0.00   0.00   0.00   0.00    0.0       0       0      0      0     0.      0     0.    0.0    0.0     0.0    0.0
 1997 241    94    92      0    0.0     0.0       0       0      0    0.0    0.0    0.0    0.0   0.00   0.00   0.00   0.00    0.0       0       0      0      0     0.      0     0.    0.0    0.0     0.0    0.0
 1997 242    95    93      0    0.0     0.0       0       0      0    0.0    0.0    0.0    0.0   0.00   0.00   0.00   0.00    0.0       0       0      0      0     0.      0     0.    0.0    0.0     0.0    0.0
 1997 243    96    94      0    0.0     0.0       0       0      0    0.0    0.0    0.0    0.0   0.00   0.00   0.00   0.00    0.0       0       0      0      0     0.      0     0.    0.0    0.0     0.0    0.0
 1997 244    97    95      0    0.0     0.0       0       0      0    0.0    0.0    0.0    0.0   0.00   0.00   0.00   0.00    0.0       0       0      0      0     0.      0     0.    0.0    0.0     0.0    0.0
 1997 245    98    96      0    0.0     0.0       0       0      0    0.0    0.0    0.0    0.0   0.00   0.00   0.00   0.00    0.0       0       0      0      0     0.      0     0.    0.0    0.0     0.0    0.0
 1997 246    99    97      0    0.0     0.0       0       0      0    0.0    0.0    0.0    0.0   0.00   0.00   0.00   0.00    0.0       0       0      0      0     0.      0     0.    0.0    0.0     0.0    0.0
